2023-03-21 19:00:00+00:00,2023-03-21 20:00:00+00:00,2023-03-21 21:00:00+00:00,2023-03-21 22:00:00+00:00,2023-03-21 23:00:00+00:00,2023-03-22 00:00:00+00:00,2023-03-22 01:00:00+00:00,2023-03-22 02:00:00+00:00,2023-03-22 03:00:00+00:00,2023-03-22 04:00:00+00:00,2023-03-22 05:00:00+00:00
0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
0.4676,0.5622,0.8466,0.8022,0.4808,0.6184,0.72,0.3886,0.6144,0.7506,0.647
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
0.7104,0.7754,2.2516,1.133,0.5108,0.898,0.9698,0.8042,1.3638,0.8408,2.1124
2.9216,0.4152,0.7692,1.3194,0.3908,0.4236,1.606,0.5384,0.8808,0.8396,0.819
